,Unnamed: 0,gvkey,datadate,fyear,conm,at,lagged_at,capx,ceq,csho,xrd,cik_x,costat,prcc_f,date.filed,adoption_year,blockchain,Q,invest,invest_y1
0,2,1004,20170531,2016,AAR CORP,1504.1,1442.1,33.6,914.2,34.354,0.0,1750,A,34.94,0,0.0,0,1.190232537730204,0.0232993551071354,0.0146266870553819
1,3,1004,20180531,2017,AAR CORP,1524.7,1504.1,22.0,936.3,34.716,0.0,1750,A,44.69,0,0.0,0,1.4034616908244244,0.0146266870553819,0.0114120810651275
2,4,1004,20190531,2018,AAR CORP,1517.2,1524.7,17.4,905.9,34.788,0.0,1750,A,30.09,0,0.0,0,1.0928492749802263,0.0114120810651275,0.0155549696809913
3,5,1004,20200531,2019,AAR CORP,2079.0,1517.2,23.6,902.6,35.097,0.0,1750,A,20.17,0,0.0,0,0.9063523280423282,0.0155549696809913,0.0054353054353054
4,6,1004,20210531,2020,AAR CORP,1539.7,2079.0,11.3,974.4,35.375,0.0,1750,A,41.75,0,0.0,0,1.3263663375982333,0.0054353054353054,0.0690727985224897
5,8,1045,20161231,2016,AMERICAN AIRLINES GROUP INC,51274.0,48415.0,5731.0,3785.0,507.294,0.0,6201,A,46.69,0,0.0,0,1.388121793891641,0.1183724052463079,0.1164527830869446
6,9,1045,20171231,2017,AMERICAN AIRLINES GROUP INC,51396.0,51274.0,5971.0,3926.0,475.508,0.0,6201,A,52.03,0,0.0,0,1.4049864043894469,0.1164527830869446,0.0728655926531247
7,10,1045,20181231,2018,AMERICAN AIRLINES GROUP INC,60580.0,51396.0,3745.0,-169.0,460.611,0.0,6201,A,32.11,0,0.0,0,1.2469332982832615,0.0728655926531247,0.0704522944866292
8,11,1045,20191231,2019,AMERICAN AIRLINES GROUP INC,59995.0,60580.0,4268.0,-118.0,428.203,0.0,6201,A,28.68,0,0.0,0,1.2066649227435622,0.0704522944866292,0.032636053004417
9,12,1045,20201231,2020,AMERICAN AIRLINES GROUP INC,62008.0,59995.0,1958.0,-6867.0,621.48,0.0,6201,A,15.77,0,0.0,0,1.2687998258289253,0.032636053004417,0.0066443039607792
10,15,1050,20161231,2016,CECO ENVIRONMENTAL CORP,498.634,598.819,1.076,190.082,34.162,0.0,3197,A,13.95,0,0.0,0,1.5745254034020946,0.0017968701727901,0.0020616323796612
11,16,1050,20171231,2017,CECO ENVIRONMENTAL CORP,438.549,498.634,1.028,186.569,34.57,0.0,3197,A,5.13,0,0.0,0,0.9789649503248212,0.0020616323796612,0.0070459629368668
12,17,1050,20181231,2018,CECO ENVIRONMENTAL CORP,392.582,438.549,3.09,178.56,34.816,0.0,3197,A,6.75,0,0.0,0,1.1437865210325486,0.0070459629368668,0.0144046339363496
13,18,1050,20191231,2019,CECO ENVIRONMENTAL CORP,408.637,392.582,5.655,193.017,35.137,0.0,3197,A,7.66,0,0.0,0,1.1863081903988135,0.0144046339363496,0.0096540450326328
14,19,1050,20201231,2020,CECO ENVIRONMENTAL CORP,419.314,408.637,3.945,202.658,35.367,0.0,3197,A,6.96,0,0.0,0,1.103732095756402,0.0096540450326328,0.0690727985224897
15,21,1062,20161130,2016,ASA GOLD AND PRECIOUS METALS,245.02,162.35,0.0,243.229,19.29,0.0,1230869,A,10.81,0,0.0,0,0.8583621745163659,0.0,0.0
16,22,1062,20171130,2017,ASA GOLD AND PRECIOUS METALS,245.562,245.02,0.0,244.202,19.29,0.0,1230869,A,11.0526,0,0.0,0,0.8737697770827735,0.0,0.0
17,23,1062,20181130,2018,ASA GOLD AND PRECIOUS METALS,196.072,245.562,0.0,194.834,19.29,0.0,1230869,A,8.66,0,0.0,0,0.8583040923742299,0.0,0.0
18,24,1062,20191130,2019,ASA GOLD AND PRECIOUS METALS,286.612,196.072,0.0,285.879,19.29,0.0,1230869,A,12.2,0,0.0,0,0.8236605585251141,0.0,0.0
19,25,1062,20201130,2020,ASA GOLD AND PRECIOUS METALS,464.74,286.612,0.0,463.936,19.29,0.0,1230869,A,19.91,0,0.0,0,0.8281359469811077,0.0,0.0690727985224897
20,27,1075,20161231,2016,PINNACLE WEST CAPITAL CORP,16004.253,15028.258,1295.442,4803.622,111.337,0.0,764622,A,78.03,0,0.0,0,1.2426857479696178,0.0862004099210966,0.0894066096055842
21,28,1075,20171231,2017,PINNACLE WEST CAPITAL CORP,17019.082,16004.253,1430.886,5006.69,111.752,0.0,764622,A,85.18,0,0.0,0,1.265134474350614,0.0894066096055842,0.0707058700345882
22,29,1075,20181231,2018,PINNACLE WEST CAPITAL CORP,17664.202,17019.082,1203.349,5222.915,112.102,0.0,764622,A,85.2,0,0.0,0,1.245025243710415,0.0707058700345882,0.0684987071592591
23,30,1075,20191231,2019,PINNACLE WEST CAPITAL CORP,18479.247,17664.202,1209.975,5430.648,112.436,0.0,764622,A,89.93,0,0.0,0,1.2532961153666056,0.0684987071592591,0.0727905200899149
24,31,1075,20201231,2020,PINNACLE WEST CAPITAL CORP,20020.421,18479.247,1345.114,5633.503,112.688,0.0,764622,A,79.95,0,0.0,0,1.1686229575292149,0.0727905200899149,0.074650128486309
25,34,1076,20161231,2016,PROG HOLDINGS INC,2615.736,2658.875,57.453,1481.598,71.449,0.0,1808834,A,31.99,0,0.0,0,1.3073916901399834,0.0216080109068685,0.0221631693718326
